date,capacity,turnover,high,low,close,change,transaction_volume,open
1510621200,17229176,4132433432,241.0,239.0,240.0,0.5,4130,241.0
1510707600,29720308,7063591898,239.5,236.0,237.5,-2.5,9224,239.0
1510794000,17274172,4118927788,240.0,237.5,238.0,0.5,5683,238.0
1510880400,18741825,4528440917,242.5,240.5,241.5,3.5,5647,240.5
1511139600,19811271,4744311377,241.5,238.0,238.5,-3.0,5935,241.0
1511226000,22878024,5529803248,243.0,239.5,243.0,4.5,7942,240.0
1511312400,27251431,6631376152,244.5,242.0,242.0,-1.0,7655,244.5
1511398800,9562763,2320934646,243.5,241.5,242.5,0.5,4253,242.0
1511485200,11404453,2777319771,244.5,241.5,244.0,1.5,3910,242.0
1511744400,32247327,7696717391,240.0,237.0,237.0,-7.0,14743,240.0
1511830800,47834178,11198457400,235.0,233.0,234.0,-3.0,15262,234.5
1511917200,26535797,6234161137,236.0,234.5,234.5,0.5,6976,235.0
1512003600,112262770,25539072296,230.5,226.0,226.0,-8.5,21352,226.5
1512090000,38356265,8830392980,233.5,227.5,231.0,5.0,17632,228.5
1512349200,22939032,5347622547,234.5,231.0,234.0,3.0,7763,232.5
1512435600,30189765,6938661754,231.0,228.5,229.5,-4.5,11202,231.0
1512522000,34031690,7752572207,229.5,226.5,227.0,-2.5,10749,228.0
1512608400,41619903,9349711831,226.5,222.5,226.5,-0.5,13336,226.5
1512694800,38183260,8678808540,231.0,224.5,227.0,0.5,9485,231.0
1512954000,20649609,4706571094,229.0,227.0,227.5,0.5,6384,228.5
1513040400,28188584,6399536562,229.5,225.0,227.5,0.0,6210,229.5
1513126800,19619331,4454578768,228.0,226.5,227.0,-0.5,6108,227.5
1513213200,17263313,3956456249,230.5,227.5,230.5,3.5,6689,228.0
1513299600,42725779,9781791170,230.0,226.5,230.0,-0.5,7602,228.5
1513558800,15702664,3565805928,228.0,226.5,227.0,-3.0,5961,227.0
1513645200,25899129,5844605314,228.5,224.0,225.0,-2.0,7609,226.5
1513731600,34514333,7748610375,225.5,223.5,224.5,-0.5,10336,225.0
1513818000,20826164,4696105505,227.0,224.5,225.0,0.5,5893,226.5
1513904400,19106483,4315809802,227.5,224.0,227.5,2.5,6146,225.0
1514163600,4579675,1045118165,229.5,226.5,228.5,1.0,2288,228.0
1514250000,13755843,3118538018,229.0,225.0,226.0,-2.5,3550,229.0
1514336400,12515245,2820168625,226.0,225.0,225.0,-1.0,5717,225.0
1514422800,24370371,5521736966,228.0,225.0,226.0,1.0,7413,226.5
1514509200,25610443,5861624377,230.0,226.5,229.5,3.5,8325,227.5
1514854800,18055269,4188555408,232.5,231.0,232.5,3.0,9954,231.5
1514941200,31706091,7504382512,238.0,235.5,237.0,4.5,13633,236.0
1515027600,29179613,6963192636,240.0,236.5,239.5,2.5,10953,240.0
1515114000,23721255,5681934695,240.0,238.0,240.0,0.5,8659,240.0
1515373200,21846692,5281823362,242.5,240.5,242.0,2.0,10251,242.0
1515459600,19043123,4588314012,242.0,239.5,242.0,0.0,7124,242.0
1515546000,25716220,6118683273,242.0,236.0,236.5,-5.5,10534,241.5
1515632400,32070338,7500674455,236.0,232.5,235.0,-1.5,9199,235.0
1515718800,23141291,5463302207,238.0,233.5,237.0,2.0,7905,234.5
1515978000,28576533,6832851887,240.0,238.0,240.0,3.0,9756,240.0
1516064400,23407632,5609009540,240.5,238.0,240.5,0.5,8156,240.0
1516150800,38118119,9207582787,243.0,239.0,242.0,1.5,12593,240.5
1516237200,50119952,12406562364,250.0,245.0,248.5,6.5,19482,245.0
1516323600,55061292,13975174348,255.5,251.5,255.5,7.0,18801,253.5
1516582800,45907509,11934882643,262.0,257.0,261.5,6.0,13558,257.5
1516669200,34606444,9155080569,266.0,262.5,266.0,4.5,13993,262.5
1516755600,42600813,11022372004,263.0,256.5,258.0,-8.0,17287,263.0
1516842000,46214756,11981089514,264.0,256.5,258.0,0.0,15826,258.0
1516928400,43514523,11101977348,257.5,253.5,255.0,-3.0,12821,256.5
1517187600,31306234,8067780117,261.5,255.0,258.5,3.5,12211,259.0
1517274000,37410591,9523980994,257.5,252.5,253.0,-5.5,12987,256.0
1517360400,45807808,11670582000,257.5,252.0,255.0,2.0,13553,253.0
1517446800,30900457,8022694430,261.0,257.0,259.5,4.5,13598,257.5
1517533200,25707560,6633344540,260.0,255.0,259.5,0.0,11404,259.0
1517792400,46554379,11742299859,254.5,250.5,253.0,-6.5,16909,251.0
1517878800,104448048,24944565955,243.5,234.0,239.0,-14.0,35455,242.5
1517965200,82299178,19903032966,245.5,239.5,240.0,1.0,22962,245.0
